Imdb Title Id,Title,Year of Release,Date Published,Genre,Duration(min),Country,Language,Director,Production Company,Average Vote,Votes,User Reviews,Critic Reviews
tt0010925,Yankee Doodle in Berlin,1919,3/2/1919,Comedy,58,USA,English,F. Richard Jones,Mack Sennett Comedies,5.5,722,6,2
tt0010953,Algol - Tragödie der Macht,1920,11/7/1921,"Fantasy, Sci-Fi",99,Germany,German,Hans Werckmeister,Deutsche Lichtbild-Gesellschaft e.V. (DLG),6.3,138,5,7
tt0010962,Anna Bolena,1920,4/4/1921,"Biography, Drama, Romance",100,Germany,German,Ernst Lubitsch,Messters Projektion GmbH,6.6,576,14,13
tt0010964,April Folly,1920,3/21/1920,"Drama, Crime",50,USA,English,Robert Z. Leonard,Marion Davies Film Corporation,6.4,129,3,13
tt0010969,L'atlantide,1921,5/28/1921,"Adventure, Fantasy, Mystery",136,"France, Belgium",French,Jacques Feyder,International et Commercial de la Cinématographie (Thalman),6.7,315,5,10
tt0011000,Pagine dal libro di Satana,1920,1/24/1921,Drama,167,Denmark,German,Carl Theodor Dreyer,Nordisk Film,6.7,"1,083.00",16,15
tt0011130,Dr. Jekyll e Mr. Hyde,1920,9/28/1920,"Drama, Horror, Sci-Fi",69,USA,English,John S. Robertson,Paramount Pictures,7,"4,753.00",73,67
tt0011157,Erotikon,1920,11/8/1920,"Comedy, Romance",106,Sweden,Swedish,Mauritz Stiller,Svensk Filmindustri (SF),6.6,717,12,10
tt0011173,Fante-Anne,1920,9/11/1920,"Crime, Drama, Romance",93,Norway,German,Rasmus Breistein,Paramount Pictures,6.2,123,1,2
tt0011193,The Flapper,1920,5/10/1920,Comedy,88,USA,English,Alan Crosland,Selznick Pictures Corporation,6.6,291,12,4
tt0011217,Il cammino nella notte,1921,8/8/1921,Drama,81,"Germany, Denmark",German,F.W. Murnau,Goron Film,6.4,308,3,6
tt0011221,Genuine,1920,12/12/1921,Horror,88,Germany,German,Robert Wiene,Decla-Bioscop AG,6,848,14,7
tt0011237,Il Golem - Come venne al mondo,1920,5/26/1924,"Fantasy, Horror",76,Germany,German,"Carl Boese, Paul Wegener",Projektions-AG Union (PAGU),7.2,"6,577.00",51,49
tt0011267,Headin' Home,1920,9/19/1920,"Biography, Comedy, Drama",71,USA,English,Lawrence C. Windom,Kessel & Baumann,5.1,260,11,7
tt0011294,L'Hirondelle et la Mésange,1924,6/5/1924,Drama,80,France,French,André Antoine,Pathé Frères,7.1,165,3,6
tt0011302,La giustizia del mare,1920,12/3/1920,Drama,86,France,French,Marcel L'Herbier,Gaumont Série Pax,6.9,187,3,3
tt0011317,Humoresque,1920,5/30/1920,Drama,60,USA,German,Frank Borzage,Cosmopolitan Productions,6.2,135,3,3
tt0011344,L'uomo dal coltello a serramanico,1920,8/1/1920,Drama,60,USA,English,King Vidor,King W. Vidor Productions,6.2,105,4,13
tt0011358,Just Pals,1920,11/18/1920,"Comedy, Drama, Western",50,USA,English,John Ford,Fox Film Corporation,6.6,332,4,3
tt0011369,Der Klosterjäger,1920,4/3/1905,Drama,70,Germany,German,Franz Osten,Paramount Pictures,6,113,3,13
tt0011370,Klostret i Sendomir,1920,1/1/1920,Drama,54,Sweden,German,Victor Sjöström,Svenska Biografteatern AB,6.8,,3,3
tt0011371,Due sorelle,1920,7/5/1920,"Comedy, Romance",64,Germany,German,Ernst Lubitsch,Messters Projektion GmbH,6.7,264,3,1
tt0011387,The Last of the Mohicans,1920,11/21/1920,"Action, Adventure, Drama",73,USA,English,"Clarence Brown, Maurice Tourneur",Maurice Tourneur Productions,6.7,"1,102.00",28,7
tt0011414,The Love Expert,1920,4/18/1920,"Comedy, Romance",60,USA,German,David Kirkland,Constance Talmadge Film Company,4.9,142,5,1
